Lp.,Nazwa,Adres,Dzielnica,Telefon,Obecność online,Facebook / Social,Uwagi
1,Stacja Wrzeszcz bistro & bar,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/stacjawrzeszcz,brak własnej strony www
2,CHINKALNA Gdańsk Wrzeszcz,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/chinkalniagdanskwrzeszcz,kuchnia gruzińska – brak www
3,Pizzeria 105 Gdańsk Wrzeszcz,"ul. Wyspiańskiego 2/6, Gdańsk",Wrzeszcz,500 105 678,Facebook + dostawa,facebook.com/105wrzeszcz,brak własnej strony
4,Pobite Gary Wrzeszcz,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/pobitegarywrzeszcz,brak własnej strony
5,Bistro POBITE GARY Oliwa,Oliwa,Oliwa,58 554 30 30,Facebook,facebook.com/bistropobitegary,brak własnej strony
6,Bistro Food art Company,"ul. Opata Jacka Rybińskiego 24/7a, Gdańsk",Oliwa,506 501 960,Facebook,brak profilu w wynikach,bistro wegetariańskie – brak www
7,Olivka Pasta Fresca Ristorante,Oliwa,Oliwa,brak,tylko Facebook,facebook.com/olivka.gda,kuchnia włoska – brak www
8,MAMA INDII Restauracja Indyjska,"ul. Franciszka Hynka 57, 80-465 Gdańsk",Oliwa / Zaspa,692 928 777,Facebook,facebook.com/mamaindiigdansk,kuchnia indyjska – brak www
9,Restauracja New Romantica,"ul. Startowa 31, Gdańsk",Zaspa,brak,tylko katalogi,brak,brak www – tylko cityon.pl
10,Burger Stacja,"ul. Hynka 65, Gdańsk",Zaspa,731 253 253,Google Maps,brak,brak www
11,RESTAURACJA LEKKO,"ul. Wczasy 8, Gdańsk Brzeźno",Brzeźno,605 405 779,Instagram,instagram.com/lekkonawczasach,brak www – tylko Instagram
12,Restauracja Zdrojowa,Brzeźno,Brzeźno,brak,tylko Facebook,facebook.com/p/Restauracja-Zdrojowa-100076455484316,brak www
13,Perła Bałtyku,Nowy Port,Nowy Port,brak,tylko Facebook,facebook.com/p/Perła-Bałtyku-100057216680700,brak www – historyczna dzielnica
14,Restauracja Gvara,"ul. Chlebnicka 48/51, Gdańsk",Stare Miasto,795 889 288,Facebook (brak www),facebook.com/restauracjagvara,brak strony www – tylko FB i katalogi
15,Kuchnia Polska Rzeźnia,"Stacja Food Hall, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/p/Kuchnia-Polska-Rzeźnia-100091934317418,brak www
16,Restauracja Szeroka,"ul. Szeroka, Gdańsk",Stare Miasto,brak,tylko Facebook,facebook.com/szeroka.azja,kuchnia słowiańska – brak www
17,Restauracja Mazel Tov,"ul. Ogarna 121/122, Gdańsk",Stare Miasto,604 634 170,tylko katalogi,brak,brak www – tylko mapa.targeo
18,Bar Leon,"ul. Stągiewna 5/1, Gdańsk",Wyspa Spichrzów,brak,Google Maps,brak,brak www – tylko Google Maps
19,Restauracja Chmielna,"ul. Chmielna, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/Restauracja.Chmielna,brak www
20,Estimo Klub Aktora,"ul. Mariacka 2/3, 80-833 Gdańsk",Stare Miasto,brak,tylko mapa.targeo,brak,brak www – tylko katalogi
21,Sami Swoi Restauracja,Gdańsk,Śródmieście,brak,tylko Facebook,facebook.com/p/Sami-Swoi-Restauracja-100036175579850,brak www
22,Restauracja Bazar,"ul. Szafarnia 6, 80-755 Gdańsk",Śródmieście,58 354 58 14,Facebook,facebook.com/restauracjabazar,brak własnej strony www
23,Bistro Miasto,"ul. Targ Rakowy 11, Gdańsk (Forum)",Śródmieście,brak,Facebook,facebook.com/bistromiasto.gdansk,brak www
24,Restauracja Mantra,"ul. Krynicka 7, Gdańsk Przymorze",Przymorze,brak,tylko Facebook,facebook.com/RestauracjaMantra,brak www
25,Restauracja A-dong,Przymorze,Przymorze,brak,tylko Facebook,facebook.com/p/Restauracja-A-dong-Przymorze-100064202916116,brak www – kuchnia azjatycka
26,SurfBurger,"ul. Słupska 26c, Gdańsk Przymorze",Przymorze,883 183 663,Google Maps,brak,brak www – tylko Google Maps i dostawa
27,Śląska 19,"ul. Śląska 19, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/slaska19,brak www
28,Kebab Lamh Morena,Morena,Morena,brak,tylko Tripadvisor,brak,brak www
29,Lido,"ul. Kartuska 20, Gdańsk",Siedlce,brak,tylko mapa.targeo,brak,brak www
30,Lukullus,"ul. Kartuska 482, 80-298 Gdańsk",Kokoszki,brak,tylko mapa.targeo,brak,kuchnia grecka – brak www
31,Bistro Podaj Kaczkę Raz,ul. Kartuska Gdańsk,Siedlce / Orunia,brak,katalogi,brak,brak www – tylko znanerestauracje.pl
32,Bar Mleczny Orunia,"ul. Ptasia, Orunia, Gdańsk",Orunia,brak,tylko Facebook,facebook.com/Barmlecznyptasia,brak www – bar mleczny
33,Pizza & Kebab FENIX Stogi,"ul. Pawia 4, Gdańsk Stogi",Stogi,brak,eatbu.com,brak,brak własnej strony
34,Yama Sushi i Kebab Kraftowy,"ul. Sucha 37A, Gdańsk",Śródmieście,brak,trojmiasto.pl,brak,brak własnej strony www
35,New Port Restauracja,Nowy Port Gdańsk,Nowy Port,brak,tylko Facebook,facebook.com/newportgdansk,brak www
36,WOK BAR Letnica,"ul. Marynarki Polskiej 59, Gdańsk Letnica",Letnica,brak,menu.pl (dostawa),brak,brak własnej strony
37,Port Fromage,Gdańsk,Śródmieście,brak,tylko Instagram,instagram.com/portfromage,brak www – specjalizacja sery
38,Casa Del Gusto,"ul. Szafarnia 11/u15, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/Casadelgustogdansk,brak www
39,Śliwka w Kompot,"ul. Szafarnia 10, Gdańsk",Śródmieście,brak,tylko Instagram,instagram.com/sliwkawkompot_gdansk,brak www
40,Rucola,"ul. Abrahama Antoniego 15a, Gdańsk",Wrzeszcz,brak,tylko mapa.targeo,brak,brak www
41,Mystery Restaurant,Gdańsk,Śródmieście,brak,tylko Facebook,facebook.com/restauracjamystery,brak www
42,Bar Pan Burger,"ul. Do Studzienki 10, Gdańsk",Wrzeszcz,brak,tylko katalogi,brak,brak www
43,Pizzeria PRL,"ul. Do Studzienki 34A, Gdańsk",Wrzeszcz,brak,tylko katalogi,brak,brak www
44,ZORBA,"ul. Szafarnia 10, 80-001 Gdańsk",Śródmieście,brak,tylko mapa.targeo,brak,kuchnia grecka – brak www
45,Restauracja Zacisze Facebook,"ul. Niepołomicka 36, Gdańsk (Facebook: ZaciszeGdansk)",Łostowice,brak,tylko Facebook (inna lokalizacja niż zacisze.gda.pl),facebook.com/ZaciszeGdansk,weryfikacja wymagana
46,Restauracja Panorama Widokowa,"Pętla Wrzeszcz / Zieleniak, Gdańsk",Wrzeszcz,brak,Facebook,facebook.com/PanoramaRestauracja,sprawdź – mogła zbudować www
47,Literacka Restaurant & Wine Bar,"ul. Mariacka 50/52, Gdańsk",Stare Miasto,brak,tylko Facebook,facebook.com/Literacka,weryfikacja wymagana
48,Restauracja Hacjenda Wrzeszcz,"ul. Partyzantów 46, Gdańsk",Wrzeszcz,58 345 44 04,Facebook,facebook.com/hacjenda.wrzeszcz,UWAGA: może mieć stronę – zweryfikuj
49,Restauracja Republika Śródmieście,Śródmieście,Śródmieście,brak,Facebook + Instagram,facebook.com/RestauracjaRepublika,UWAGA: restauracjarepublika.pl – MA STRONĘ (wzorzec dla klientów)
50,Myśliwska Św. Huberta,"ul. Jaśkowa Dolina 114, Gdańsk",Wrzeszcz,brak,tylko mapa.targeo,brak,dawna nazwa – weryfikuj czy czynna
